,datetime,station,core,component,period,value,grade
0,2022-12-06T14:00:00+01:00,mc010,,pm10,24h,2.0,2.0
1,2022-12-06T14:00:00+01:00,mc014,,pm10,24h,,
2,2022-12-06T14:00:00+01:00,mc018,,pm10,24h,,
3,2022-12-06T14:00:00+01:00,mc027,,pm10,24h,,
4,2022-12-06T14:00:00+01:00,mc032,,pm10,24h,2.0,2.0
5,2022-12-06T14:00:00+01:00,mc042,,pm10,24h,2.0,2.0
6,2022-12-06T14:00:00+01:00,mc077,,pm10,24h,2.0,2.0
7,2022-12-06T14:00:00+01:00,mc085,,pm10,24h,3.0,3.0
8,2022-12-06T14:00:00+01:00,mc115,,pm10,24h,,
9,2022-12-06T14:00:00+01:00,mc117,,pm10,24h,3.0,3.0
10,2022-12-06T14:00:00+01:00,mc124,,pm10,24h,3.0,3.0
11,2022-12-06T14:00:00+01:00,mc143,,pm10,24h,3.0,3.0
12,2022-12-06T14:00:00+01:00,mc145,,pm10,24h,,
13,2022-12-06T14:00:00+01:00,mc171,,pm10,24h,3.0,3.0
14,2022-12-06T14:00:00+01:00,mc174,,pm10,24h,3.0,3.0
15,2022-12-06T14:00:00+01:00,mc190,,pm10,24h,3.0,3.0
16,2022-12-06T14:00:00+01:00,MC221,,pm10,24h,3.0,3.0
17,2022-12-06T14:00:00+01:00,mc282,,pm10,24h,,
18,2022-12-08T11:00:00+01:00,mc010,,pm10,24h,2.0,2.0
19,2022-12-08T11:00:00+01:00,mc014,,pm10,24h,,
20,2022-12-08T11:00:00+01:00,mc018,,pm10,24h,,
21,2022-12-08T11:00:00+01:00,mc027,,pm10,24h,,
22,2022-12-08T11:00:00+01:00,mc032,,pm10,24h,1.0,1.0
23,2022-12-08T11:00:00+01:00,mc042,,pm10,24h,2.0,2.0
24,2022-12-08T11:00:00+01:00,mc077,,pm10,24h,2.0,2.0
25,2022-12-08T11:00:00+01:00,mc085,,pm10,24h,1.0,1.0
26,2022-12-08T11:00:00+01:00,mc115,,pm10,24h,,
27,2022-12-08T11:00:00+01:00,mc117,,pm10,24h,2.0,2.0
28,2022-12-08T11:00:00+01:00,mc124,,pm10,24h,2.0,2.0
29,2022-12-08T11:00:00+01:00,mc143,,pm10,24h,2.0,2.0
30,2022-12-08T11:00:00+01:00,mc145,,pm10,24h,,
31,2022-12-08T11:00:00+01:00,mc171,,pm10,24h,2.0,2.0
32,2022-12-08T11:00:00+01:00,mc174,,pm10,24h,2.0,2.0
33,2022-12-08T11:00:00+01:00,mc190,,pm10,24h,2.0,2.0
34,2022-12-08T11:00:00+01:00,MC221,,pm10,24h,2.0,2.0
35,2022-12-08T11:00:00+01:00,mc282,,pm10,24h,,
36,2022-12-12T16:00:00+01:00,mc010,,pm10,24h,2.0,2.0
37,2022-12-12T16:00:00+01:00,mc014,,pm10,24h,,
38,2022-12-12T16:00:00+01:00,mc018,,pm10,24h,,
39,2022-12-12T16:00:00+01:00,mc027,,pm10,24h,,
40,2022-12-12T16:00:00+01:00,mc032,,pm10,24h,2.0,2.0
41,2022-12-12T16:00:00+01:00,mc042,,pm10,24h,2.0,2.0
42,2022-12-12T16:00:00+01:00,mc077,,pm10,24h,2.0,2.0
43,2022-12-12T16:00:00+01:00,mc085,,pm10,24h,2.0,2.0
44,2022-12-12T16:00:00+01:00,mc115,,pm10,24h,,
45,2022-12-12T16:00:00+01:00,mc117,,pm10,24h,2.0,2.0
46,2022-12-12T16:00:00+01:00,mc124,,pm10,24h,2.0,2.0
47,2022-12-12T16:00:00+01:00,mc143,,pm10,24h,2.0,2.0
48,2022-12-12T16:00:00+01:00,mc145,,pm10,24h,,
49,2022-12-12T16:00:00+01:00,mc171,,pm10,24h,2.0,2.0
50,2022-12-12T16:00:00+01:00,mc174,,pm10,24h,2.0,2.0
51,2022-12-12T16:00:00+01:00,mc190,,pm10,24h,2.0,2.0
52,2022-12-12T16:00:00+01:00,MC221,,pm10,24h,2.0,2.0
53,2022-12-12T16:00:00+01:00,mc282,,pm10,24h,,
54,2022-12-13T11:00:00+01:00,mc010,,pm10,24h,2.0,2.0
55,2022-12-13T11:00:00+01:00,mc014,,pm10,24h,,
56,2022-12-13T11:00:00+01:00,mc018,,pm10,24h,,
57,2022-12-13T11:00:00+01:00,mc027,,pm10,24h,,
58,2022-12-13T11:00:00+01:00,mc032,,pm10,24h,2.0,2.0
59,2022-12-13T11:00:00+01:00,mc042,,pm10,24h,2.0,2.0
60,2022-12-13T11:00:00+01:00,mc077,,pm10,24h,2.0,2.0
61,2022-12-13T11:00:00+01:00,mc085,,pm10,24h,2.0,2.0
62,2022-12-13T11:00:00+01:00,mc115,,pm10,24h,,
63,2022-12-13T11:00:00+01:00,mc117,,pm10,24h,2.0,2.0
64,2022-12-13T11:00:00+01:00,mc124,,pm10,24h,3.0,3.0
65,2022-12-13T11:00:00+01:00,mc143,,pm10,24h,2.0,2.0
66,2022-12-13T11:00:00+01:00,mc145,,pm10,24h,,
67,2022-12-13T11:00:00+01:00,mc171,,pm10,24h,2.0,2.0
68,2022-12-13T11:00:00+01:00,mc174,,pm10,24h,2.0,2.0
69,2022-12-13T11:00:00+01:00,mc190,,pm10,24h,2.0,2.0
70,2022-12-13T11:00:00+01:00,MC221,,pm10,24h,2.0,2.0
71,2022-12-13T11:00:00+01:00,mc282,,pm10,24h,,
72,2022-12-14T15:00:00+01:00,mc010,,pm10,24h,3.0,3.0
73,2022-12-14T15:00:00+01:00,mc014,,pm10,24h,,
74,2022-12-14T15:00:00+01:00,mc018,,pm10,24h,,
75,2022-12-14T15:00:00+01:00,mc027,,pm10,24h,,
76,2022-12-14T15:00:00+01:00,mc032,,pm10,24h,3.0,3.0
77,2022-12-14T15:00:00+01:00,mc042,,pm10,24h,3.0,3.0
78,2022-12-14T15:00:00+01:00,mc077,,pm10,24h,3.0,3.0
79,2022-12-14T15:00:00+01:00,mc085,,pm10,24h,3.0,3.0
80,2022-12-14T15:00:00+01:00,mc115,,pm10,24h,,
81,2022-12-14T15:00:00+01:00,mc117,,pm10,24h,3.0,3.0
82,2022-12-14T15:00:00+01:00,mc124,,pm10,24h,3.0,3.0
83,2022-12-14T15:00:00+01:00,mc143,,pm10,24h,3.0,3.0
84,2022-12-14T15:00:00+01:00,mc145,,pm10,24h,,
85,2022-12-14T15:00:00+01:00,mc171,,pm10,24h,3.0,3.0
86,2022-12-14T15:00:00+01:00,mc174,,pm10,24h,3.0,3.0
87,2022-12-14T15:00:00+01:00,mc190,,pm10,24h,3.0,3.0
88,2022-12-14T15:00:00+01:00,MC221,,pm10,24h,3.0,3.0
89,2022-12-14T15:00:00+01:00,mc282,,pm10,24h,,
90,2022-12-14T15:00:00+01:00,mc010,,pm10,24h,3.0,3.0
91,2022-12-14T15:00:00+01:00,mc014,,pm10,24h,,
92,2022-12-14T15:00:00+01:00,mc018,,pm10,24h,,
93,2022-12-14T15:00:00+01:00,mc027,,pm10,24h,,
94,2022-12-14T15:00:00+01:00,mc032,,pm10,24h,3.0,3.0
95,2022-12-14T15:00:00+01:00,mc042,,pm10,24h,3.0,3.0
96,2022-12-14T15:00:00+01:00,mc077,,pm10,24h,3.0,3.0
97,2022-12-14T15:00:00+01:00,mc085,,pm10,24h,3.0,3.0
98,2022-12-14T15:00:00+01:00,mc115,,pm10,24h,,
99,2022-12-14T15:00:00+01:00,mc117,,pm10,24h,3.0,3.0
100,2022-12-14T15:00:00+01:00,mc124,,pm10,24h,3.0,3.0
101,2022-12-14T15:00:00+01:00,mc143,,pm10,24h,3.0,3.0
102,2022-12-14T15:00:00+01:00,mc145,,pm10,24h,,
103,2022-12-14T15:00:00+01:00,mc171,,pm10,24h,3.0,3.0
104,2022-12-14T15:00:00+01:00,mc174,,pm10,24h,3.0,3.0
105,2022-12-14T15:00:00+01:00,mc190,,pm10,24h,3.0,3.0
106,2022-12-14T15:00:00+01:00,MC221,,pm10,24h,3.0,3.0
107,2022-12-14T15:00:00+01:00,mc282,,pm10,24h,,
108,2022-12-15T17:00:00+01:00,mc010,,pm10,24h,4.0,4.0
109,2022-12-15T17:00:00+01:00,mc014,,pm10,24h,,
110,2022-12-15T17:00:00+01:00,mc018,,pm10,24h,,
111,2022-12-15T17:00:00+01:00,mc027,,pm10,24h,,
112,2022-12-15T17:00:00+01:00,mc032,,pm10,24h,4.0,4.0
113,2022-12-15T17:00:00+01:00,mc042,,pm10,24h,4.0,4.0
114,2022-12-15T17:00:00+01:00,mc077,,pm10,24h,4.0,4.0
115,2022-12-15T17:00:00+01:00,mc085,,pm10,24h,4.0,4.0
116,2022-12-15T17:00:00+01:00,mc115,,pm10,24h,,
117,2022-12-15T17:00:00+01:00,mc117,,pm10,24h,4.0,4.0
118,2022-12-15T17:00:00+01:00,mc124,,pm10,24h,4.0,4.0
119,2022-12-15T17:00:00+01:00,mc143,,pm10,24h,4.0,4.0
