,datetime,station,core,component,period,value,grade
0,2022-12-06T14:00:00+01:00,mc010,,no2,1h,1.0,1.0
1,2022-12-06T14:00:00+01:00,mc014,,no2,1h,1.0,1.0
2,2022-12-06T14:00:00+01:00,mc018,,no2,1h,1.0,1.0
3,2022-12-06T14:00:00+01:00,mc027,,no2,1h,1.0,1.0
4,2022-12-06T14:00:00+01:00,mc032,,no2,1h,-1.0,-1.0
5,2022-12-06T14:00:00+01:00,mc042,,no2,1h,1.0,1.0
6,2022-12-06T14:00:00+01:00,mc077,,no2,1h,1.0,1.0
7,2022-12-06T14:00:00+01:00,mc085,,no2,1h,1.0,1.0
8,2022-12-06T14:00:00+01:00,mc115,,no2,1h,1.0,1.0
9,2022-12-06T14:00:00+01:00,mc117,,no2,1h,1.0,1.0
10,2022-12-06T14:00:00+01:00,mc124,,no2,1h,1.0,1.0
11,2022-12-06T14:00:00+01:00,mc143,,no2,1h,1.0,1.0
12,2022-12-06T14:00:00+01:00,mc145,,no2,1h,1.0,1.0
13,2022-12-06T14:00:00+01:00,mc171,,no2,1h,1.0,1.0
14,2022-12-06T14:00:00+01:00,mc174,,no2,1h,1.0,1.0
15,2022-12-06T14:00:00+01:00,mc190,,no2,1h,1.0,1.0
16,2022-12-06T14:00:00+01:00,MC221,,no2,1h,1.0,1.0
17,2022-12-06T14:00:00+01:00,mc282,,no2,1h,1.0,1.0
18,2022-12-08T11:00:00+01:00,mc010,,no2,1h,2.0,2.0
19,2022-12-08T11:00:00+01:00,mc014,,no2,1h,2.0,2.0
20,2022-12-08T11:00:00+01:00,mc018,,no2,1h,1.0,1.0
21,2022-12-08T11:00:00+01:00,mc027,,no2,1h,1.0,1.0
22,2022-12-08T11:00:00+01:00,mc032,,no2,1h,1.0,1.0
23,2022-12-08T11:00:00+01:00,mc042,,no2,1h,2.0,2.0
24,2022-12-08T11:00:00+01:00,mc077,,no2,1h,2.0,2.0
25,2022-12-08T11:00:00+01:00,mc085,,no2,1h,1.0,1.0
26,2022-12-08T11:00:00+01:00,mc115,,no2,1h,2.0,2.0
27,2022-12-08T11:00:00+01:00,mc117,,no2,1h,2.0,2.0
28,2022-12-08T11:00:00+01:00,mc124,,no2,1h,2.0,2.0
29,2022-12-08T11:00:00+01:00,mc143,,no2,1h,2.0,2.0
30,2022-12-08T11:00:00+01:00,mc145,,no2,1h,-1.0,-1.0
31,2022-12-08T11:00:00+01:00,mc171,,no2,1h,2.0,2.0
32,2022-12-08T11:00:00+01:00,mc174,,no2,1h,2.0,2.0
33,2022-12-08T11:00:00+01:00,mc190,,no2,1h,2.0,2.0
34,2022-12-08T11:00:00+01:00,MC221,,no2,1h,2.0,2.0
35,2022-12-08T11:00:00+01:00,mc282,,no2,1h,2.0,2.0
36,2022-12-12T16:00:00+01:00,mc010,,no2,1h,2.0,2.0
37,2022-12-12T16:00:00+01:00,mc014,,no2,1h,2.0,2.0
38,2022-12-12T16:00:00+01:00,mc018,,no2,1h,1.0,1.0
39,2022-12-12T16:00:00+01:00,mc027,,no2,1h,1.0,1.0
40,2022-12-12T16:00:00+01:00,mc032,,no2,1h,1.0,1.0
41,2022-12-12T16:00:00+01:00,mc042,,no2,1h,1.0,1.0
42,2022-12-12T16:00:00+01:00,mc077,,no2,1h,1.0,1.0
43,2022-12-12T16:00:00+01:00,mc085,,no2,1h,1.0,1.0
44,2022-12-12T16:00:00+01:00,mc115,,no2,1h,2.0,2.0
45,2022-12-12T16:00:00+01:00,mc117,,no2,1h,2.0,2.0
46,2022-12-12T16:00:00+01:00,mc124,,no2,1h,2.0,2.0
47,2022-12-12T16:00:00+01:00,mc143,,no2,1h,2.0,2.0
48,2022-12-12T16:00:00+01:00,mc145,,no2,1h,1.0,1.0
49,2022-12-12T16:00:00+01:00,mc171,,no2,1h,1.0,1.0
50,2022-12-12T16:00:00+01:00,mc174,,no2,1h,2.0,2.0
51,2022-12-12T16:00:00+01:00,mc190,,no2,1h,2.0,2.0
52,2022-12-12T16:00:00+01:00,MC221,,no2,1h,2.0,2.0
53,2022-12-12T16:00:00+01:00,mc282,,no2,1h,1.0,1.0
